nom,famille,masse,A,h,b,tw,tf,r,Iy,Iz,Wely,Wply,Welz,Wplz,iy,iz,Um,iz_tabule,It,Av,Aw
IPE80,IPE,6.0,0.0007639999999999999,0.08,0.046,0.0038,0.005200000000000001,0.005,8.009999999999999e-07,8.5e-08,2e-05,2.32e-05,3.6900000000000002e-06,5.8e-06,0.0324,0.0105,0.328,,6.7e-09,0.000358,0.00028399999999999996
IPE100,IPE,8.1,0.0010299999999999999,0.1,0.055,0.0040999999999999995,0.0057,0.007,1.71e-06,1.59e-07,3.4200000000000005e-05,3.94e-05,5.7900000000000005e-06,9.2e-06,0.04070000000000001,0.012400000000000001,0.4,,1.15e-08,0.000508,0.000387
IPE120,IPE,10.4,0.00132,0.12,0.064,0.0044,0.0063,0.007,3.18e-06,2.77e-07,5.3e-05,6.08e-05,8.65e-06,1.36e-05,0.049,0.0145,0.475,,1.69e-08,0.0006309999999999999,0.0005
IPE140,IPE,12.9,0.00164,0.14,0.073,0.0047,0.006900000000000001,0.007,5.41e-06,4.49e-07,7.730000000000001e-05,8.840000000000001e-05,1.23e-05,1.9200000000000003e-05,0.0574,0.0165,0.551,,2.4e-08,0.0007639999999999999,0.0006259999999999999
IPE160,IPE,15.8,0.00201,0.16,0.082,0.005,0.0074,0.009000000000000001,8.69e-06,6.83e-07,0.000109,0.000124,1.67e-05,2.61e-05,0.0658,0.0184,0.623,,3.53e-08,0.000966,0.000763
IPE180,IPE,18.8,0.0023899999999999998,0.18,0.091,0.0053,0.008,0.009000000000000001,1.3199999999999999e-05,1.01e-06,0.000146,0.00016600000000000002,2.22e-05,3.46e-05,0.0742,0.0205,0.698,,4.72e-08,0.001125,0.0009119999999999999
IPE200,IPE,22.4,0.0028499999999999997,0.2,0.1,0.0056,0.0085,0.012,1.94e-05,1.42e-06,0.000194,0.00022,2.85e-05,4.47e-05,0.08259999999999999,0.0224,0.768,,6.85e-08,0.0014,0.00107
IPE220,IPE,26.2,0.0033399999999999997,0.22,0.11,0.005900000000000001,0.0092,0.012,2.77e-05,2.05e-06,0.000252,0.000286,3.7300000000000005e-05,5.8e-05,0.0911,0.024800000000000003,0.848,,8.98e-08,0.001588,0.00124
IPE240,IPE,30.7,0.003909999999999999,0.24,0.12,0.006200000000000001,0.009800000000000001,0.015,3.89e-05,2.84e-06,0.000324,0.000366,4.7300000000000005e-05,7.400000000000001e-05,0.09970000000000001,0.0269,0.922,,1.2699999999999999e-07,0.001914,0.0014299999999999998
IPE270,IPE,36.1,0.0045899999999999995,0.27,0.135,0.0066,0.010199999999999999,0.015,5.79e-05,4.2e-06,0.000429,0.00048400000000000006,6.220000000000001e-05,9.7e-05,0.112,0.0302,1.04,,1.57e-07,0.002214,0.00171
IPE300,IPE,42.2,0.005379999999999999,0.3,0.15,0.0070999999999999995,0.0107,0.015,8.36e-05,6.04e-06,0.000557,0.0006280000000000001,8.05e-05,0.000125,0.125,0.0335,1.16,,1.98e-07,0.002568,0.0020499999999999997
IPE330,IPE,49.1,0.00626,0.33,0.16,0.0075,0.0115,0.018000000000000002,0.0001177,7.879999999999999e-06,0.0007130000000000001,0.000804,9.850000000000001e-05,0.000154,0.137,0.035500000000000004,1.25,,2.76e-07,0.003081,0.0023899999999999998
IPE360,IPE,57.1,0.0072699999999999996,0.36,0.17,0.008,0.0127,0.018000000000000002,0.0001627,1.04e-05,0.0009040000000000001,0.00102,0.000123,0.000191,0.15,0.037899999999999996,1.35,,3.71e-07,0.0035139999999999998,0.00278
IPE400,IPE,66.3,0.00845,0.4,0.18,0.0086,0.0135,0.021,0.00023129999999999998,1.3199999999999999e-05,0.00116,0.0013100000000000002,0.000146,0.000229,0.165,0.0395,1.47,,5.04e-07,0.004269,0.00332
IPE450,IPE,77.6,0.00988,0.45,0.19,0.0094,0.0146,0.021,0.0003374,1.68e-05,0.0015,0.0017000000000000001,0.00017600000000000002,0.000275,0.185,0.0412,1.61,,6.61e-07,0.005085,0.00409
IPE500,IPE,90.7,0.0116,0.5,0.2,0.010199999999999999,0.016,0.021,0.000482,2.14e-05,0.00193,0.0022,0.00021400000000000002,0.00033600000000000004,0.20400000000000001,0.0431,1.74,,8.86e-07,0.005987,0.00494
IPE550,IPE,106.0,0.013399999999999999,0.55,0.21,0.0111,0.0172,0.024,0.0006711999999999999,2.67e-05,0.0024400000000000003,0.0027800000000000004,0.000254,0.00040100000000000004,0.223,0.0445,1.88,,1.22e-06,0.007234,0.0059099999999999995
IPE600,IPE,122.0,0.0156,0.6,0.22,0.012,0.019,0.024,0.0009207999999999999,3.39e-05,0.0030700000000000002,0.00352,0.000308,0.00048600000000000005,0.243,0.0466,2.02,,1.6499999999999999e-06,0.008378,0.00697
IPE750.137,IPE,137.0,0.017499999999999998,0.753,0.263,0.0115,0.017,0.017,0.001599,5.1699999999999996e-05,0.00425,0.004860000000000001,0.000393,0.0006140000000000001,0.303,0.0544,2.51,,1.36e-06,0.00929,0.008459999999999999
IPE750.147,IPE,147.0,0.018699999999999998,0.753,0.265,0.0132,0.017,0.017,0.001661,5.29e-05,0.00441,0.00511,0.00039900000000000005,0.000631,0.298,0.0531,2.51,,1.57e-06,0.010539999999999999,0.00972
IPE750.173,IPE,173.0,0.022099999999999998,0.762,0.267,0.014400000000000001,0.0216,0.017,0.002058,6.87e-05,0.0054,0.006220000000000001,0.000515,0.0008100000000000001,0.305,0.055700000000000006,2.53,,2.71e-06,0.01164,0.0107
IPE750.196,IPE,196.0,0.025099999999999997,0.77,0.268,0.0156,0.0254,0.017,0.0024029999999999998,8.18e-05,0.006240000000000001,0.00717,0.0006100000000000001,0.0009590000000000001,0.31,0.057100000000000005,2.55,,4.059999999999999e-06,0.01273,0.0116
PEA120,PEA,8.7,0.0010999999999999998,0.11800000000000001,0.064,0.0038,0.0050999999999999995,0.007,2.57e-06,2.24e-07,4.38e-05,4.99e-05,7.000000000000001e-06,1.1000000000000001e-05,0.048299999999999996,0.014199999999999999,0.472,,1.01e-08,0.000542,0.000428
PEA140,PEA,10.5,0.00134,0.137,0.073,0.0038,0.0056,0.007,4.35e-06,3.64e-07,6.330000000000001e-05,7.16e-05,9.980000000000001e-06,1.55e-05,0.057,0.0165,0.547,,1.33e-08,0.00062,0.0005009999999999999
PEA160,PEA,12.7,0.00162,0.157,0.082,0.004,0.005900000000000001,0.009000000000000001,6.89e-06,5.44e-07,8.78e-05,9.920000000000001e-05,1.3300000000000001e-05,2.0700000000000002e-05,0.0653,0.0183,0.619,,1.91e-08,0.00078,0.0006039999999999999
PEA180,PEA,15.4,0.00196,0.177,0.091,0.0043,0.006500000000000001,0.009000000000000001,1.06e-05,8.19e-07,0.00012,0.000135,1.8e-05,2.8000000000000003e-05,0.0737,0.0205,0.694,,2.65e-08,0.0009199999999999999,0.0007329999999999999
PEA200,PEA,18.4,0.00235,0.197,0.1,0.0045000000000000005,0.007,0.012,1.59e-05,1.17e-06,0.000162,0.000181,2.3400000000000003e-05,3.66e-05,0.0823,0.0223,0.764,,4.0199999999999996e-08,0.001147,0.000855
PEA220,PEA,22.2,0.00283,0.217,0.11,0.005,0.0077,0.012,2.3199999999999998e-05,1.71e-06,0.00021400000000000002,0.00024,3.12e-05,4.85e-05,0.0905,0.0246,0.843,,5.59e-08,0.0013549999999999999,0.00105
PEA240,PEA,26.2,0.00333,0.23700000000000002,0.12,0.005200000000000001,0.0083,0.015,3.29e-05,2.4e-06,0.00027800000000000004,0.000312,4e-05,6.25e-05,0.0994,0.0268,0.918,,8.199999999999999e-08,0.0016309999999999999,0.0011899999999999999
PEA270,PEA,30.7,0.00392,0.267,0.135,0.0055,0.0087,0.015,4.9199999999999997e-05,3.58e-06,0.000368,0.00041200000000000004,5.3e-05,8.240000000000001e-05,0.112,0.0302,1.04,,1.01e-07,0.001875,0.00142
PEA300,PEA,36.5,0.00465,0.297,0.15,0.0060999999999999995,0.0092,0.015,7.17e-05,5.19e-06,0.00048300000000000003,0.0005420000000000001,6.92e-05,0.00010700000000000001,0.124,0.0334,1.16,,1.31e-07,0.002225,0.0017599999999999998
PEA330,PEA,43.0,0.00547,0.327,0.16,0.006500000000000001,0.01,0.018000000000000002,0.000102,6.85e-06,0.000626,0.000702,8.560000000000001e-05,0.000133,0.137,0.0354,1.25,,1.9e-07,0.002699,0.0020599999999999998
PEA360,PEA,50.2,0.0063999999999999994,0.357,0.17,0.0066,0.0115,0.018000000000000002,0.000145,9.44e-06,0.000812,0.000906,0.000111,0.000172,0.151,0.0384,1.35,,2.69e-07,0.002972,0.00228
PEA400,PEA,57.4,0.00731,0.397,0.18,0.007,0.012,0.021,0.000203,1.17e-05,0.00102,0.0011400000000000002,0.00013000000000000002,0.000202,0.167,0.04,1.46,,3.5e-07,0.003578,0.0026999999999999997
PEA450,PEA,67.2,0.00856,0.447,0.19,0.0076,0.0131,0.021,0.000298,1.5e-05,0.00133,0.00149,0.00015800000000000002,0.000246,0.186,0.0419,1.6,,4.62e-07,0.004226,0.0033
PEA500,PEA,79.4,0.0101,0.497,0.2,0.008400000000000001,0.0147,0.021,0.00042899999999999997,1.94e-05,0.0017300000000000002,0.0019500000000000001,0.000194,0.000302,0.20600000000000002,0.0438,1.74,,6.36e-07,0.005046999999999999,0.00405
PEA550,PEA,92.1,0.0117,0.547,0.21,0.009000000000000001,0.0157,0.024,0.0006,2.43e-05,0.00219,0.00248,0.000232,0.000362,0.226,0.0455,1.88,,8.79e-07,0.00603,0.0047799999999999995
PEA600,PEA,108.0,0.013699999999999999,0.597,0.22,0.009800000000000001,0.0175,0.024,0.000829,3.12e-05,0.0027800000000000004,0.00314,0.000283,0.000442,0.246,0.047700000000000006,2.01,,1.21e-06,0.007013999999999999,0.00568
INP80,INP,5.94,0.000757,0.08,0.042,0.0039,0.005900000000000001,0.0023,7.799999999999999e-07,6.3e-08,1.95e-05,2.2800000000000002e-05,3e-06,5e-06,0.032,0.0091,0.304,,8.18e-09,0.000341,0.000289
INP100,INP,8.34,0.00106,0.1,0.05,0.0045000000000000005,0.0068,0.0027,1.71e-06,1.22e-07,3.4200000000000005e-05,3.9800000000000005e-05,4.9000000000000005e-06,8.1e-06,0.040100000000000004,0.0107,0.37,,1.51e-08,0.00048499999999999997,0.000419
INP120,INP,11.1,0.00142,0.12,0.058,0.0050999999999999995,0.0077,0.0031000000000000003,3.28e-06,2.15e-07,5.47e-05,6.36e-05,7.4e-06,1.2400000000000002e-05,0.048100000000000004,0.0123,0.439,,2.57e-08,0.000663,0.0005729999999999999
INP140,INP,14.3,0.00182,0.14,0.066,0.0057,0.0086,0.0034,5.73e-06,3.52e-07,8.19e-05,9.54e-05,1.0700000000000001e-05,1.79e-05,0.056100000000000004,0.014,0.502,,4.0999999999999997e-08,0.000865,0.000749
INP160,INP,17.9,0.00228,0.16,0.074,0.0063,0.0095,0.0038,9.35e-06,5.47e-07,0.00011700000000000001,0.000136,1.48e-05,2.4800000000000003e-05,0.064,0.0155,0.575,,6.24e-08,0.00108,0.000948
INP180,INP,21.9,0.00279,0.18,0.082,0.006900000000000001,0.010400000000000001,0.0040999999999999995,1.45e-05,8.13e-07,0.000161,0.00018700000000000002,1.98e-05,3.33e-05,0.07200000000000001,0.0171,0.64,,9.11e-08,0.00134,0.00117
